[02.05.2025 23:24:26] 192.168.0.13:7680 -> 192.168.0.15:64654, Seq=1197709526, Флаги=18
[02.05.2025 23:24:26] 192.168.0.15:64654 -> 192.168.0.13:7680, Seq=1752784807, Флаги=16
[02.05.2025 23:24:26] 192.168.0.15:64655 -> 192.168.0.13:7680, Seq=1467602385, Флаги=2
[02.05.2025 23:24:26] 192.168.0.15:64654 -> 192.168.0.13:7680, Seq=1752784807, Флаги=24
[02.05.2025 23:24:26] 192.168.0.13:7680 -> 192.168.0.15:64655, Seq=2590900451, Флаги=18
[02.05.2025 23:24:26] 192.168.0.15:64655 -> 192.168.0.13:7680, Seq=1467602386, Флаги=16
[02.05.2025 23:24:26] 192.168.0.15:64655 -> 192.168.0.13:7680, Seq=1467602386, Флаги=24
[02.05.2025 23:24:26] 192.168.0.13:7680 -> 192.168.0.15:64654, Seq=1197709527, Флаги=24
[02.05.2025 23:24:26] 192.168.0.13:7680 -> 192.168.0.15:64655, Seq=2590900452, Флаги=24
[02.05.2025 23:24:26] 192.168.0.15:64654 -> 192.168.0.13:7680, Seq=1752784882, Флаги=24
[02.05.2025 23:24:26] 192.168.0.15:64655 -> 192.168.0.13:7680, Seq=1467602461, Флаги=24
[02.05.2025 23:24:26] 192.168.0.13:7680 -> 192.168.0.15:64654, Seq=1197709602, Флаги=24
[02.05.2025 23:24:26] 192.168.0.13:7680 -> 192.168.0.15:64654, Seq=1197709630, Флаги=17
[02.05.2025 23:24:26] 192.168.0.13:7680 -> 192.168.0.15:64655, Seq=2590900527, Флаги=24
[02.05.2025 23:24:26] 192.168.0.13:7680 -> 192.168.0.15:64655, Seq=2590900555, Флаги=17
[02.05.2025 23:24:26] 192.168.0.15:64654 -> 192.168.0.13:7680, Seq=1752784910, Флаги=16
[02.05.2025 23:24:26] 192.168.0.15:64655 -> 192.168.0.13:7680, Seq=1467602489, Флаги=16
[02.05.2025 23:24:26] 192.168.0.15:64654 -> 192.168.0.13:7680, Seq=1752784910, Флаги=17
[02.05.2025 23:24:26] 192.168.0.15:64655 -> 192.168.0.13:7680, Seq=1467602489, Флаги=17
[02.05.2025 23:24:26] 192.168.0.13:7680 -> 192.168.0.15:64654, Seq=1197709631, Флаги=16
[02.05.2025 23:24:26] 192.168.0.13:7680 -> 192.168.0.15:64655, Seq=2590900556, Флаги=16
[02.05.2025 23:24:27] 13.107.213.254:443 -> 192.168.0.15:64604, Seq=1015434401, Флаги=24
[02.05.2025 23:24:27] 13.107.213.254:443 -> 192.168.0.15:64604, Seq=1015434432, Флаги=17
[02.05.2025 23:24:27] 192.168.0.15:64604 -> 13.107.213.254:443, Seq=2586054654, Флаги=16
[02.05.2025 23:24:27] 192.168.0.15:64591 -> 52.109.88.188:443, Seq=2448332172, Флаги=17
[02.05.2025 23:24:27] 52.109.88.188:443 -> 192.168.0.15:64591, Seq=657837582, Флаги=17
[02.05.2025 23:24:27] 192.168.0.15:64591 -> 52.109.88.188:443, Seq=2448332173, Флаги=16
[02.05.2025 23:24:27] 192.168.0.15:64649 -> 142.250.150.198:443, Seq=2215972743, Флаги=16
